Algorithm,Mode,k,CId,Precision,Recall,F1
KNN,g,1,High,0.4,0.666667,0.5
KNN,g,1,Low,0,0,0
KNN,g,2,High,0.4,0.666667,0.5
KNN,g,2,Low,0,0,0
KNN,g,3,High,0.4,0.666667,0.5
KNN,g,3,Low,0,0,0
KNN,l,1,High,0.4,0.666667,0.5
KNN,l,1,Low,0,0,0
KNN,l,2,High,0.4,0.666667,0.5
KNN,l,2,Low,0,0,0
KNN,l,3,High,0.4,0.666667,0.5
KNN,l,3,Low,0,0,0
RIA,g,1,High,0.4,0.666667,0.5
RIA,g,1,Low,0,0,0
RIA,g,2,High,0.4,0.666667,0.5
RIA,g,2,Low,0,0,0
RIA,g,3,High,0.4,0.666667,0.5
RIA,g,3,Low,0,0,0
RIA,l,1,High,0.4,0.666667,0.5
RIA,l,1,Low,0,0,0
RIA,l,2,High,0.4,0.666667,0.5
RIA,l,2,Low,0,0,0
RIA,l,3,High,0.4,0.666667,0.5
RIA,l,3,Low,0,0,0
RIONA,g,1,High,0.75,1,0.857143
RIONA,g,1,Low,1,0.666667,0.8
RIONA,g,2,High,0.5,1,0.666667
RIONA,g,2,Low,0,0,0
RIONA,g,3,High,0.5,1,0.666667
RIONA,g,3,Low,0,0,0
RIONA,l,1,High,0.4,0.666667,0.5
RIONA,l,1,Low,0,0,0
RIONA,l,2,High,0.4,0.666667,0.5
RIONA,l,2,Low,0,0,0
RIONA,l,3,High,0.4,0.666667,0.5
RIONA,l,3,Low,0,0,0
